検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
医療法人社団共助会 共助会医院小豆沢2-26-8,医療法人社団共助会 共助会医院,東京都板橋区小豆沢2-26-8,174-0051,03-3966-2577,,1,1,,1,,板橋区,13119,小豆沢,2-26-8,,1,,1,,1,1,,9:00~13:00,16:00~18:00,9:00~13:00,16:00~18:00,9:00~13:00,16:00~18:00,,,9:00~13:00,16:00~18:00,9:00~13:00,,,,英語、仏語,,小豆沢2-26-8
医療法人社団弘親会 名和医院大森本町2-25-28,医療法人社団弘親会 名和医院,東京都大田区大森本町2-25-28,143-0011,03-3761-6257,,1,1,,,,大田区,13111,大森本町,2-25-28,,1,,1,,1,1,,,0:00~13:00,,0:00~13:00,,0:00~13:00,,0:00~13:00,,0:00~13:00,,0:00~13:00,,,,,大森本町2-25-28
弓倉医院南常盤台１-７-１２,弓倉医院,東京都板橋区南常盤台１-７-１２,174-0072,03-3956-1666,,1,1,,,,板橋区,13119,南常盤台,１-７-１２,,1,,1,1,1,1,,,15:00~16:15,,15:00~16:15,,15:00~16:15,,,,15:00~16:00,,,,,英語,,南常盤台１-７-１２
医療法人社団雄翔会あさひ上野クリニック上野３－１６－４文行堂ビル２F,医療法人社団雄翔会あさひ上野クリニック,東京都台東区上野３－１６－４文行堂ビル２F,110-0005,03-5818-7070,,1,1,1,,1,台東区,13106,上野,３－１６－４文行堂ビル２F,,1,,1,,1,1,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,,,,,なし,,上野３－１６－４文行堂ビル２F
医療法人社団和修会 竹田内科クリニック貫井南町5-20-13,医療法人社団和修会 竹田内科クリニック,東京都小金井市貫井南町5-20-13,184-0014,web予約,https://my.3bees.com/facilities/3786,1,1,1,1,1,小金井市,13210,貫井南町,5-20-13,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,英語,,貫井南町5-20-13
大森真帆麻布十番クリニック麻布十番1-5-9高橋ビル2階,大森真帆麻布十番クリニック,東京都港区麻布十番1-5-9高橋ビル2階,106-0045,03-6455-4317,,1,1,1,1,1,港区,13103,麻布十番,1-5-9高橋ビル2階,,1,,1,1,1,1,,,15:00~19:00,10:00~13:00,15:00~19:00,10:00~13:00,15:00~19:00,10:00~13:00,15:00~19:00,10:00~13:00,14:00~17:00,10:00~13:00,,,,英語,,麻布十番1-5-9高橋ビル2階
野口クリニック谷原５-２７-５,野口クリニック,東京都練馬区谷原５-２７-５,177-0032,03-5387-1105,,1,1,1,1,1,練馬区,13120,谷原,５-２７-５,,1,,1,1,,,,9:00~11:30,15:00~17:50,9:00~11:30,15:50~17:50,9:00~11:30,16:50~17:50,,,9:00~11:30,15:00~17:50,9:00~11:30,,,,,,谷原５-２７-５
愛全診療所田中町2-25-3,愛全診療所,東京都昭島市田中町2-25-3,196-0014,042-546-7791,,,1,,,,昭島市,13207,田中町,2-25-3,,1,,1,1,1,1,,9:00~10:00,15:00~16:00,,15:00~17:00,9:00~10:00,15:00~16:00,9:00~10:00,15:00~16:00,,15:00~17:00,9:00~11:00,,,,,,田中町2-25-3
"ほりごめクリニック千人町2-20-2ｸﾛｰﾊﾞｰﾋﾞﾙ3階301",ほりごめクリニック,"東京都八王子市千人町2-20-2ｸﾛｰﾊﾞｰﾋﾞﾙ3階301",193-0835,042-673-7004,,,1,,,,八王子市,13201,千人町,"2-20-2ｸﾛｰﾊﾞｰﾋﾞﾙ3階301",,1,,1,1,1,,,9:00~12:30,13:30~17:00,9:00~12:30,13:30~13:30,9:00~12:30,13:30~17:00,9:00~12:30,13:30~17:00,9:00~12:30,13:30~17:00,,,,,,,"千人町2-20-2ｸﾛｰﾊﾞｰﾋﾞﾙ3階301"
医療法人社団 ウェルネスササキクリニック幸町４７－１３,医療法人社団 ウェルネスササキクリニック,東京都板橋区幸町４７－１３,173-0034,03-3973-1155,,1,1,1,,,板橋区,13119,幸町,４７－１３,,,,1,,1,,,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,,12:00~13:00,17:00~18:00,12:00~13:00,,,,,,幸町４７－１３
ねぎし耳鼻咽喉科根岸2－13－1,ねぎし耳鼻咽喉科,東京都町田市根岸2－13－1,194-0038,81427898733,,,1,,1,1,町田市,13209,根岸,2－13－1,,,,1,1,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~15:00,9:00~12:00,15:00~15:00,,,9:00~12:00,15:00~15:00,9:00~12:00,,,,無し,1,根岸2－13－1
医療法人社団康明会康明会病院豊田2-32-1　,医療法人社団康明会康明会病院,東京都日野市豊田2-32-1　,191-0053,042-584-5251,,1,1,,,,日野市,13212,豊田,2-32-1　,,1,,1,1,1,1,,9:00~12:00,13:30~15:30,9:00~12:00,13:30~15:30,9:00~12:00,13:30~15:30,9:00~12:00,13:30~15:30,9:00~12:00,13:30~15:30,9:00~12:00,13:30~15:30,,,,,豊田2-32-1　
"葛西のかなめクリニック中葛西5-20-14水戸ビル１F",葛西のかなめクリニック,"東京都江戸川区中葛西5-20-14水戸ビル１F",134-0083,03-6808-5881,,1,1,,1,1,江戸川区,13123,中葛西,"5-20-14水戸ビル１F",,,,1,1,,,,,,9:00~13:00,15:00~18:30,9:00~13:00,15:00~18:30,9:00~13:00,15:00~18:30,9:00~13:00,15:00~18:30,9:00~13:00,14:00~17:30,9:00~13:00,14:00~17:30,英語,1,"中葛西5-20-14水戸ビル１F"
医療法人社団カナード　かるがもクリニック桜丘２－２５－４,医療法人社団カナード　かるがもクリニック,東京都世田谷区桜丘２－２５－４,156-0054,web予約,https://karugamo.mdja.jp/,1,1,1,1,1,世田谷区,13112,桜丘,２－２５－４,,1,,1,1,,,,8:30~11:30,15:30~17:30,8:30~11:30,15:30~17:30,8:30~11:30,15:30~17:30,8:30~11:30,,8:30~11:30,,9:00~11:30,,9:00~11:30,,,,桜丘２－２５－４
東京医科歯科大学病院湯島１丁目５番45号,東京医科歯科大学病院,東京都文京区湯島１丁目５番45号,113-8519,03-3813-6111,,1,1,,,,文京区,13105,湯島,１丁目５番45号,,1,,,1,,,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,,,,,,,湯島１丁目５番45号
医療法人社団 光智会 能戸クリニック大和町1-45-12,医療法人社団 光智会 能戸クリニック,東京都中野区大和町1-45-12,165-0034,03-3337-6700,,1,1,,,,中野区,13114,大和町,1-45-12,,1,,1,1,1,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,9:00~9:00,15:00~15:00,11:00~12:00,17:00~18:00,,,,,,,大和町1-45-12
一之江ファミリークリニック一之江８-13-9FRONT4-2,一之江ファミリークリニック,東京都江戸川区一之江８-13-9FRONT4-2,132-0024,03-5879-3883,,1,1,1,1,1,江戸川区,13123,一之江,８-13-9FRONT4-2,,,,1,1,1,,,,,9:00~12:00,14:30~17:30,9:00~12:00,14:30~17:30,9:00~12:00,14:30~17:30,9:00~12:00,14:30~17:30,9:00~12:00,,9:00~12:00,,日本語のみ,,一之江８-13-9FRONT4-2
あかねクリニック大島七丁目３８番１５号,あかねクリニック,東京都江東区大島七丁目３８番１５号,136-0072,03-5875-3208,,1,1,,,,江東区,13108,大島七丁目,３８番１５号,,1,,1,1,1,,,,,9:00~11:00,,9:00~11:00,13:00~15:00,,,9:00~10:00,13:00~15:00,,,,,,,大島七丁目３８番１５号
小石川循環器内科クリニック小石川2－24－14,小石川循環器内科クリニック,東京都文京区小石川2－24－14,112-0002,03-6801-8450,,1,1,1,1,1,文京区,13105,小石川,2－24－14,,1,,1,1,1,1,,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,,,14:00~19:00,9:00~14:00,,,,英語,,小石川2－24－14
関町内科クリニック関町北5-6-1 トパーズハイム１F,関町内科クリニック,東京都練馬区関町北5-6-1 ,177-0051,03-5903-3881,,1,1,1,1,1,練馬区,13120,関町北,5-6-1 ,トパーズハイム１F,1,,1,1,1,1,,11:00~12:30,17:00~18:30,11:00~12:30,17:00~18:30,,,11:00~12:30,17:00~18:30,11:00~12:30,17:00~18:30,11:00~12:30,,,,英語（簡単な会話程度）,,関町北5-6-1 トパーズハイム１F
竹内耳鼻咽喉科皮ふ科医院中町二丁目２０－２３,竹内耳鼻咽喉科皮ふ科医院,東京都町田市中町二丁目２０－２３,194-0021,042-722-5075,,1,1,1,,1,町田市,13209,中町二丁目,２０－２３,,1,,1,1,,,,12:05~12:35,16:35~17:35,12:05~12:35,16:35~17:35,12:05~12:35,16:35~17:35,,,12:05~12:35,16:35~17:35,,,,,,,中町二丁目２０－２３
くぼかわ内科医院下連雀6-2-16アトラス吉祥寺１階,くぼかわ内科医院,東京都三鷹市下連雀6-2-16アトラス吉祥寺１階,181-0013,0422-24-7353,,1,1,,1,,三鷹市,13204,下連雀,6-2-16アトラス吉祥寺１階,,1,,1,1,,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,下連雀6-2-16アトラス吉祥寺１階
医療法人社団 永生会 南多摩病院散田町３-１０-１,医療法人社団 永生会 南多摩病院,東京都八王子市散田町３-１０-１,193-0832,042-663-0111,,1,1,,,,八王子市,13201,散田町,３-１０-１,,1,1,1,1,1,,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,,,,,,,散田町３-１０-１
医療法人社団 玉翠会 喜平橋耳鼻咽喉科喜平町1-7-26,医療法人社団 玉翠会 喜平橋耳鼻咽喉科,東京都小平市喜平町1-7-26,187-0044,042-332-3387,,1,1,1,1,1,小平市,13211,喜平町,1-7-26,,1,,1,1,,1,,9:00~12:00,15:00~20:00,9:00~12:00,15:00~20:00,9:00~12:00,15:00~20:00,9:00~12:00,15:00~20:00,9:00~12:00,15:00~20:00,,12:00~18:00,9:00~12:00,12:00~18:00,なし,1,喜平町1-7-26
医療法人社団三紀会小田医院八広4-3-2,医療法人社団三紀会小田医院,東京都墨田区八広4-3-2,131-0041,03-3618-1864,,1,1,1,1,,墨田区,13107,八広,4-3-2,,1,,1,,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~13:00,,,,特になし,,八広4-3-2
平和台耳鼻咽喉科早宮２-１７-３３スカイスクレーパー201、202,平和台耳鼻咽喉科,東京都練馬区早宮２-１７-３３スカイスクレーパー201、202,179-0085,03-5398-3387,,1,1,1,1,1,練馬区,13120,早宮,２-１７-３３スカイスクレーパー201、202,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,早宮２-１７-３３スカイスクレーパー201、202
医療法人社団WHM　クリニックプラス下北沢北沢2-24-5 シモキタフロント2階,医療法人社団WHM　クリニックプラス下北沢,東京都世田谷区北沢2-24-5 ,155-0031,web予約,https://clinicplus.health/shimokitazawa,1,1,1,1,1,世田谷区,13112,北沢,2-24-5 ,シモキタフロント2階,1,1,,1,1,1,,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,,1,北沢2-24-5 シモキタフロント2階
美和メディカルクリニック神宮前4-2-17-4A,美和メディカルクリニック,東京都渋谷区神宮前4-2-17-4A,150-0001,03-5770-3855,,1,1,1,1,1,渋谷区,13113,神宮前,4-2-17-4A,,1,,1,1,1,,,9:20~12:00,15:30~18:00,9:20~12:00,15:30~18:00,9:20~12:00,15:30~18:00,,15:30~18:30,9:20~12:00,15:30~18:00,9:20~13:00,,,,英語,,神宮前4-2-17-4A
医療法人社団東京明日佳 東京明日佳病院奥沢3丁目33番13号,医療法人社団東京明日佳 東京明日佳病院,東京都世田谷区奥沢3丁目33番13号,158-0083,0337202151,,1,1,1,,,世田谷区,13112,奥沢,3丁目33番13号,,1,,1,1,1,1,,,13:00~15:00,,13:00~15:00,,,,13:00~15:00,,13:00~15:00,,,,,,,奥沢3丁目33番13号
東十条さかい糖尿病・内科クリニック東十条4丁目5-16 HJフレール101,東十条さかい糖尿病・内科クリニック,東京都北区東十条4丁目5-16 ,114-0001,03-3914-2000,,1,1,1,1,1,北区,13117,東十条,4丁目5-16 ,HJフレール101,1,,1,1,1,1,,,12:00~15:00,,14:00~15:00,,,,12:00~15:00,,12:00~15:00,,12:00~14:00,,,なし,,東十条4丁目5-16 HJフレール101
医療法人社団正誠会林医院外神田3-7-1,医療法人社団正誠会林医院,東京都千代田区外神田3-7-1,101-0021,03-3253-7436,,1,1,,1,1,千代田区,13101,外神田,3-7-1,,,,1,1,,,,9:30~11:30,14:30~17:30,9:30~11:30,14:30~17:30,9:30~11:30,14:30~17:30,9:30~11:30,14:30~17:30,9:30~11:30,14:30~17:30,9:30~11:30,,,,,,外神田3-7-1
よしだ内科高円寺南4-19-1山長ビル１F,よしだ内科,東京都杉並区高円寺南4-19-1山長ビル１F,166-0003,web予約,http://yoshida-naika.net/covid.html,1,1,1,,,杉並区,13115,高円寺南,4-19-1山長ビル１F,,1,,1,1,1,1,,11:00~13:00,16:00~17:00,11:00~13:00,16:00~17:00,11:00~13:00,16:00~17:00,,,11:00~13:00,16:00~17:00,11:00~13:00,,,,,,高円寺南4-19-1山長ビル１F
田中医院関口1-1-3プラザ飯田橋1F,田中医院,東京都文京区関口1-1-3プラザ飯田橋1F,112-0014,03-3266-1407,,1,1,1,1,,文京区,13105,関口,1-1-3プラザ飯田橋1F,,1,,1,1,,1,,10:30~11:30,16:30~17:30,10:30~11:30,16:30~17:30,10:30~11:30,16:30~17:30,,,10:30~11:30,16:30~17:30,10:30~11:00,16:00~16:30,,,,,関口1-1-3プラザ飯田橋1F
まつなかクリニック西砂町6-6-16,まつなかクリニック,東京都立川市西砂町6-6-16,190-0034,042-520-1234,,1,1,,,,立川市,13202,西砂町,6-6-16,,1,,1,1,1,1,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,9:00~12:00,13:00~17:00,,,,,,,西砂町6-6-16
医療法人社団和平会 坪井医院神田和泉町1-13-12,医療法人社団和平会 坪井医院,東京都千代田区神田和泉町1-13-12,101-0024,03-3866-7815,,1,1,,1,,千代田区,13101,神田和泉町,1-13-12,,,,1,1,,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,,,,日本語のみ,,神田和泉町1-13-12
佐藤医院東小岩5-20-12,佐藤医院,東京都江戸川区東小岩5-20-12,133-0052,03-3657-1414,,1,1,1,1,1,江戸川区,13123,東小岩,5-20-12,,1,,1,1,1,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,東小岩5-20-12
池田クリニック柳沢2-3-13-110,池田クリニック,東京都西東京市柳沢2-3-13-110,202-0022,042-465-3331,,1,1,1,1,,西東京市,13229,柳沢,2-3-13-110,,1,,,1,,,,9:00~12:00,15:30~18:00,9:00~12:00,15:30~18:00,,,9:00~12:00,15:30~18:00,9:00~12:00,15:30~18:00,9:00~12:00,,,,,,柳沢2-3-13-110
松坂医院萩中１－６－２８,松坂医院,東京都大田区萩中１－６－２８,144-0047,03-3741-0985,,1,1,1,,,大田区,13111,萩中,１－６－２８,,1,,,1,,1,,9:00~13:00,,9:00~13:00,,9:00~13:00,,,,9:00~13:00,,9:00~13:00,,,,,,萩中１－６－２８
医療法人社団 安藤内科医院東葛西6-15-16,医療法人社団 安藤内科医院,東京都江戸川区東葛西6-15-16,134-0084,03-3689-7309,,1,1,1,2,1,江戸川区,13123,東葛西,6-15-16,,1,,1,1,1,1,,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,,9:00~13:00,14:00~18:00,9:00~13:00,,,,英語,,東葛西6-15-16
Henri-Clinic銀座院銀座8-10-2ルアンビル９階,Henri-Clinic銀座院,東京都中央区銀座8-10-2ルアンビル９階,104-0061,03-6263-8258,,1,1,1,,,中央区,13102,銀座,8-10-2ルアンビル９階,,1,,,,,1,,10:00~12:00,12:30~19:00,10:00~12:00,12:30~19:00,10:00~12:00,12:30~19:00,10:00~12:00,12:30~19:00,10:00~12:00,12:30~19:00,10:00~12:00,12:30~19:00,10:00~12:00,12:30~19:00,,1,銀座8-10-2ルアンビル９階
はせがわ内科クリニック南大塚2-13-12 ラ・コリーナ南大塚101,はせがわ内科クリニック,東京都豊島区南大塚2-13-12 ,170-0005,81312345678,,,1,,,,豊島区,13116,南大塚,2-13-12 ,ラ・コリーナ南大塚101,1,,1,,1,1,,,15:00~16:00,,,,15:00~18:30,,15:00~16:00,,,,,,,,,南大塚2-13-12 ラ・コリーナ南大塚101
かじわら内科泌尿器科クリニック矢野口1541アーバンシャトル1階,かじわら内科泌尿器科クリニック,東京都稲城市矢野口1541アーバンシャトル1階,206-0812,042-370-8770,,1,1,1,1,1,稲城市,13228,矢野口,1541アーバンシャトル1階,,1,,1,,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~11:30,,,,,,矢野口1541アーバンシャトル1階
祐天寺ファミリークリニック中町2-50-13,祐天寺ファミリークリニック,東京都目黒区中町2-50-13,153-0065,03-5720-7750,,,1,,,,目黒区,13110,中町,2-50-13,,,,,,,,,9:00~11:00,,9:00~11:00,,9:00~11:00,,,,9:00~11:00,,9:00~11:00,12:00~13:00,,,,,中町2-50-13
にしぼりこどもクリニック下石原2-6-14,にしぼりこどもクリニック,東京都調布市下石原2-6-14,182-0034,042-444-5560,,1,1,,2,,調布市,13208,下石原,2-6-14,,1,,1,1,,1,,8:30~11:30,15:00~17:00,8:30~11:30,15:00~17:00,,,8:30~11:30,15:00~17:00,8:30~11:30,15:00~17:00,8:30~11:30,,,,英語,,下石原2-6-14
"むらさき乳腺クリニック五反田西五反田2-19-2荒久ビル6階",むらさき乳腺クリニック五反田,"東京都品川区西五反田2-19-2荒久ビル6階",141-0031,0334950881,,,1,,,,品川区,13109,西五反田,"2-19-2荒久ビル6階",,,,,,,,,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,,,英語,,"西五反田2-19-2荒久ビル6階"
プラネット・アーバンクリニック用賀2-41-17　用賀2丁目ビル3階,プラネット・アーバンクリニック,東京都世田谷区用賀2-41-17　,158-0097,web予約,https://www.plata-net.com/online/,1,1,,1,,世田谷区,13112,用賀,2-41-17　,用賀2丁目ビル3階,,,1,1,1,,,10:00~12:00,12:00~18:00,10:00~12:00,12:00~18:00,10:00~12:00,12:00~18:00,10:00~12:00,12:00~18:00,10:00~12:00,12:00~18:00,10:00~12:00,12:00~18:00,10:00~12:00,12:00~18:00,,1,用賀2-41-17　用賀2丁目ビル3階
母島診療所母島字元地,母島診療所,東京都小笠原村母島字元地,100-2211,04998-3-2115,,1,1,1,1,1,小笠原村,13421,母島字元地,,,1,,1,1,,,,9:00~12:00,13:30~17:00,9:00~12:00,13:30~17:00,9:00~12:00,13:30~17:00,9:00~12:00,13:30~17:00,9:00~12:00,13:30~17:00,,,,,,,母島字元地
医療法人社団博鳳会敬愛病院向原３－１０－23,医療法人社団博鳳会敬愛病院,東京都板橋区向原３－１０－23,173-0036,03-3973-3811,,,1,,,,板橋区,13119,向原,３－１０－23,,1,,1,1,,1,,,15:00~16:15,,15:00~16:15,,15:00~16:15,,15:00~16:15,10:00~11:00,,10:00~11:00,,,,,,向原３－１０－23
医療法人社団博鳳会敬愛病院附属ｸﾘﾆｯｸ向原3-10-6,医療法人社団博鳳会敬愛病院附属ｸﾘﾆｯｸ,東京都板橋区向原3-10-6,173-0036,03-5986-2055,,,1,,,,板橋区,13119,向原,3-10-6,,1,,1,,,,,,15:00~16:15,,15:00~16:15,,15:00~16:15,,,,15:00~16:15,10:00~11:00,,,,,,向原3-10-6
福田医院中目黒3-22-11,福田医院,東京都目黒区中目黒3-22-11,153-0061,03-3712-2868,,,1,,,,目黒区,13110,中目黒,3-22-11,,,,1,1,,,,,,,,,,,,,18:30~19:30,,,,,,,中目黒3-22-11
南新宿クリニック 耳鼻科・小児科代々木2-11-12 南新宿セントラルビル6F,南新宿クリニック 耳鼻科・小児科,東京都渋谷区代々木2-11-12 ,151-0053,web予約,https://park.paa.jp/park2/clinics/2295/businesses/03/,1,1,,2,,渋谷区,13113,代々木,2-11-12 ,南新宿セントラルビル6F,1,,1,1,,1,,9:00~12:45,15:15~18:15,9:00~12:45,15:15~18:15,,,9:00~12:45,15:15~18:15,9:00~12:45,15:15~18:15,9:00~12:45,,9:00~12:45,,,,代々木2-11-12 南新宿セントラルビル6F
白滝医院富ヶ谷1-48-6 代々木公園ハイツ1階,白滝医院,東京都渋谷区富ヶ谷1-48-6 ,151-0063,03-3466-5655,,1,1,,1,,渋谷区,13113,富ヶ谷,1-48-6 ,代々木公園ハイツ1階,1,,1,1,,,,11:40~13:10,,11:40~13:10,,11:40~13:10,,,,,,11:40~13:10,,,,,,富ヶ谷1-48-6 代々木公園ハイツ1階
医療法人社団栄晴会　中央内科クリニック日本橋人形町2-7-8,医療法人社団栄晴会　中央内科クリニック,東京都中央区日本橋人形町2-7-8,103-0013,03-3668-0088,,1,1,,,1,中央区,13102,日本橋人形町,2-7-8,,,,1,1,,,,11:00~13:00,16:00~18:00,11:00~13:00,16:00~18:00,11:00~13:00,16:00~18:00,,,11:00~13:00,16:00~18:00,11:00~13:00,14:00~16:00,,,,,日本橋人形町2-7-8
坂上医院南町3-17-8,坂上医院,東京都西東京市南町3-17-8,188-0012,042-467-4110,,1,1,1,1,,西東京市,13229,南町,3-17-8,,,,1,1,,,,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,,,,英語,,南町3-17-8
石神井公園駅前えんじゅ内科クリニック石神井町三丁目24－7 岩田ビル3階,石神井公園駅前えんじゅ内科クリニック,東京都練馬区石神井町三丁目24－7 ,177-0041,03-3995-7700,,1,1,,,,練馬区,13120,石神井町三丁目,24－7 ,岩田ビル3階,1,,1,,,,,,12:00~13:00,,,,,,12:00~13:00,,12:00~13:00,,,,,,,石神井町三丁目24－7 岩田ビル3階
豊島区長崎休日診療所長崎2-27-18 3階,豊島区長崎休日診療所,東京都豊島区長崎2-27-18 ,171-0051,03-3959-3385,,1,1,,1,,豊島区,13116,長崎,2-27-18 ,3階,,,1,1,1,,,,,,,,,,,,,,,9:00~12:00,13:00~17:00,,1,長崎2-27-18 3階
豊島区池袋休日診療所東池袋4-42-16 池袋保健所1階,豊島区池袋休日診療所,東京都豊島区東池袋4-42-16 ,170-0013,03-3982-0198,,1,1,,1,,豊島区,13116,東池袋,4-42-16 ,池袋保健所1階,,1,,1,1,,,,,,,,,,,,,,17:00~22:00,10:00~11:00,13:00~21:00,,1,東池袋4-42-16 池袋保健所1階
古里診療所小丹波82番地,古里診療所,東京都西多摩郡奥多摩町小丹波82番地,198-0105,0428-85-8757,,,1,,,,西多摩郡奥多摩町,13221,小丹波,82番地,,1,,1,1,,1,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,,,,,,,小丹波82番地
"寺田医院小石川1-5-1パークコート文京小石川ザタワー111号",寺田医院,"東京都文京区小石川1-5-1パークコート文京小石川ザタワー111号",112-0002,03-3812-1821,,1,1,,1,,文京区,13105,小石川,"1-5-1パークコート文京小石川ザタワー111号",,1,,1,1,,1,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,11:00~12:00,16:00~17:00,10:00~11:00,,,,,,"小石川1-5-1パークコート文京小石川ザタワー111号"
医療法人財団南葛勤医協クリニック柳島業平2-9-9業平医療福祉会館１階２階,医療法人財団南葛勤医協クリニック柳島,東京都墨田区業平2-9-9業平医療福祉会館１階２階,130-0002,03-5619-5077,,1,1,1,,,墨田区,13107,業平,2-9-9業平医療福祉会館１階２階,,1,,,1,,1,,9:30~12:00,,9:30~12:00,,9:30~12:00,,9:30~12:00,,,,,,,,,,業平2-9-9業平医療福祉会館１階２階
角耳鼻咽喉科医院竹の塚1-41-1,角耳鼻咽喉科医院,東京都足立区竹の塚1-41-1,121-0813,03-3884-3387,,1,1,,1,1,足立区,13121,竹の塚,1-41-1,,,,1,1,,,,10:00~12:00,15:00~17:00,10:00~12:00,,10:00~12:00,15:00~17:00,,,10:00~12:00,15:00~17:00,10:00~12:00,,,,,,竹の塚1-41-1
"医療法人社団榊原厚生会榊原サピアタワークリニック丸の内１丁目７－１２サピアタワー7階","医療法人社団榊原厚生会榊原サピアタワークリニック",東京都千代田区丸の内１丁目７－１２サピアタワー7階,100-0005,03-5288-0011,,,1,,,,千代田区,13101,丸の内,１丁目７－１２サピアタワー7階,,,,1,,1,,,,12:00~16:30,,12:00~13:00,,12:00~16:30,,12:00~16:30,,12:00~16:30,,,,,日本語のみ,,丸の内１丁目７－１２サピアタワー7階
医療法人社団敬康会 やまぐち内科眼科クリニック田無町7-16-30,医療法人社団敬康会 やまぐち内科眼科クリニック,東京都西東京市田無町7-16-30,188-0011,042-462-7578,,1,1,,,,西東京市,13229,田無町,7-16-30,,1,,,,,1,,9:00~11:30,15:00~17:30,9:00~11:30,15:00~17:30,9:00~11:30,15:00~17:30,,,9:00~11:30,15:00~17:30,9:00~11:30,,,,,,田無町7-16-30
医療法人社団叡美会 えのもとファミリークリニック千住橋戸町1-13 ポンテポルタ千住4F,医療法人社団叡美会 えのもとファミリークリニック,東京都足立区千住橋戸町1-13 ,120-0038,03-6806-2471,,1,1,1,1,1,足立区,13121,千住橋戸町,1-13 ,ポンテポルタ千住4F,1,,1,,1,1,,9:00~10:00,18:30~19:30,9:00~10:00,18:00~19:00,,,9:00~10:00,15:30~19:00,9:00~10:00,18:00~19:00,9:00~10:00,,,,,,千住橋戸町1-13 ポンテポルタ千住4F
医療法人社団 中村クリニック木曽東３-２０-２８,医療法人社団 中村クリニック,東京都町田市木曽東３-２０-２８,194-0036,042-792-0033,,1,1,1,1,1,町田市,13209,木曽東,３-２０-２８,,1,,1,1,1,1,,9:00~11:30,15:00~17:30,9:00~11:30,,9:00~11:30,15:00~17:30,9:00~11:30,,9:00~11:30,15:00~17:30,9:00~11:30,,,,,,木曽東３-２０-２８
